# Append-only release ledger for noetl-worker-rust (RELEASE-LEDGER.md).
# Correct by NOT being updated: each row is a record of what was released.
# version	digest	released_at	git_sha
v5.132.1	sha256:6f20890b8c22ec5c8a840670ace63dff0b9c8faeb9829b5981fa2ee5c5051843	2026-09-15T10:48:13Z	unknown
v5.132.2	sha256:67d725936c1677968358faa9ee6dd905a1621fb26bd547986e3b82ac17d5b39a	2026-09-15T17:12:31Z	99c6c19c
